Date,Discharge
2021-06-01,87.47291666666666
2021-06-01,58.606854166666665
2021-06-02,39.26659229166667
2021-06-03,26.308616835416665
2021-06-04,17.626773279729164
2021-06-05,11.809938097418542
2021-06-06,7.912658525270421
2021-06-07,5.301481211931183
2021-06-08,3.551992411993892
2021-06-09,2.3798349160359074
2021-06-10,1.5944893937440583
2021-06-11,1.0683078938085189
2021-06-12,0.7157662888517078
2021-06-13,0.47956341353064424
2021-06-14,0.32130748706553164
2021-06-15,0.21527601633390617
2021-06-16,0.14423493094371714
2021-06-17,0.09663740373229049
2021-06-18,0.06474706050063464
2021-06-19,0.043380530535425205
2021-06-20,0.029064955458734883
2021-06-21,0.019473520157352372
2021-06-22,0.013047258505426087
2021-06-23,0.008741663198635482
2021-06-24,0.005856914343085772
2021-06-25,0.003924132609867466
2021-06-26,0.0026291688486112024
2021-06-27,0.0017615431285695055
2021-06-28,0.0011802338961415687
2021-06-29,0.000790756710414851
2021-06-30,0.0005298069959779502
2021-07-01,0.00035497068730522665
2021-07-01,0.0002378303604945018
2021-07-02,0.00015934634153131624
2021-07-03,0.00010676204882598188
2021-07-04,7.153057271340785e-05
2021-07-05,4.7925483717983264e-05
2021-07-06,3.211007409104878e-05
2021-07-07,2.1513749641002684e-05
2021-07-08,1.4414212259471799e-05
2021-07-09,9.657522213846104e-06
2021-07-10,6.47053988327689e-06
2021-07-11,4.335261721795515e-06
2021-07-12,2.904625353602995e-06
2021-07-13,1.946098986914007e-06
2021-07-14,1.3038863212323843e-06
2021-07-15,8.736038352256975e-07
2021-07-16,5.853145696012173e-07
2021-07-17,3.921607616328156e-07
2021-07-18,2.627477102939864e-07
2021-07-19,1.7604096589697087e-07
2021-07-20,1.1794744715097048e-07
2021-07-21,7.902478959115022e-08
2021-07-22,5.294660902607065e-08
2021-07-23,3.547422804746733e-08
2021-07-24,2.3767732791803116e-08
2021-07-25,1.5924380970508083e-08
2021-07-26,1.0669335250240418e-08
2021-07-27,7.148454617661079e-09
2021-07-28,4.7894645938329234e-09
2021-07-29,27.746674961479144
2021-07-30,18.590272224191025
2021-08-01,61.30298238877704
2021-08-01,50.30376325706232
2021-08-02,33.70352138223175
2021-08-03,22.581359326095274
2021-08-04,15.129510748483833
2021-08-05,10.136772201484167
2021-08-06,55.641262776720595
2021-08-07,37.2796460604028
2021-08-08,36.6483289612908
2021-08-09,24.55438040406484
2021-08-10,16.45143487072344
2021-08-11,11.022461363384705
2021-08-12,80.98907818955337
2021-08-13,54.26268238700076
2021-08-14,36.3559971992905
2021-08-15,24.35851812352464
2021-08-16,16.320207142761504
2021-08-17,10.934538785650211
2021-08-18,7.326140986385641
2021-08-19,4.908514460878378
2021-08-20,3.288704688788514
2021-08-21,2.203432141488304
2021-08-22,1.4762995347971632
2021-08-23,0.9891206883140997
2021-08-24,0.6627108611704468
2021-08-25,0.4440162769841994
2021-08-26,0.29749090557941354
2021-08-27,0.19931890673820707
2021-08-28,0.1335436675145987
2021-08-29,0.08947425723478114
